player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbcmatiss,Matīss Riherts,Team International A,53.5,72.0,0.7431,0.0883883476483184,0.6806,0.8056,0.125,0.650853883369793,0.6022500000000001,0.875,8.0,-13.341542702471287
wbcbromozel,Ilya Katsev,Russia,36.0,48.0,0.75,0.2356786901694763,0.5,0.8333,0.3333,0.5946177633687456,0.260425,0.6667000000000001,6.0,-14.677274528912609
wbcc,Petr Žižka,Czechia A,76.0,108.0,0.7037,0.2782116999696454,0.4167,0.9722,0.5554999999999999,0.6747797262236849,0.4928888888888889,0.4445000000000001,11.0,-14.722649590027665
wbcciaran,Ciarán Lucey,Hungary A,49.0,72.0,0.6806,0.0589019948728393,0.6389,0.7222,0.0832999999999999,0.5961124384624964,0.49773333333333336,0.9167000000000001,15.0,-15.683236509046328
wbcmartez,Martin Muzika,Czechia B,89.0,132.0,0.6742,0.2828738588134294,0.3056,0.9583,0.6527000000000001,0.6742,0.5932727272727273,0.34729999999999994,17.0,-17.81903221998916
wbcalleb,Alexey Lebedev,Russia,64.0,96.0,0.6667,0.3394597521552935,0.25,0.9167,0.6667,0.6232181824078035,0.399925,0.33330000000000004,18.0,-18.929677636144618
wbciron,Zoltán Sonkoly,Hungary A,65.0,96.0,0.6771,0.3047254720782845,0.3472,0.875,0.5278,0.6329398999674873,0.55765,0.47219999999999995,16.0,-19.183760771959868
wbcplayer,Li Fuwen,Team International D,62.0,108.0,0.5741,0.1548781564112039,0.4583,0.75,0.2917,0.550505955414264,0.4133222222222222,0.7082999999999999,26.0,-20.75584816676762
wbcpangbai,Zhang Haoxiang,China,47.0,72.0,0.6528,0.4517705225000852,0.3333,0.9722,0.6389,0.571763443767731,0.35261666666666663,0.3611,19.0,-22.19689726394482
wbciwbtc,Lukáš Souček,Czechia B,79.0,132.0,0.5985,0.2498407943070947,0.2361,0.7778,0.5417000000000001,0.5985,0.5833545454545455,0.45829999999999993,23.0,-22.8200818362931
wbcyu20,Liu Wenhao,China,65.0,108.0,0.6019,0.3046920467182124,0.3611,0.9444,0.5833,0.5771634463749267,0.4696444444444444,0.41669999999999996,22.0,-23.143045534527797
wbcashot,Ashot Avetisyan,Team International A,33.0,48.0,0.6875,0.2553362586864623,0.4167,0.7778,0.3611,0.5450662830880167,0.5631,0.6389,14.0,-24.817698854342886
wbcmk108,Denis Kachaev,Russia,42.5,72.0,0.5903,0.1866054795551298,0.4583,0.7222,0.2638999999999999,0.5170219988604344,0.5023333333333334,0.7361000000000001,24.0,-24.927985688284952
wbcpeaceman,Paweł Nowak,Poland B,22.0,36.0,0.6111,,0.6111,0.6111,0.0,0.4484901206335577,0.4120333333333333,1.0,21.0,-25.917677404117548
wbckremufka,Szczepan Łukasik,Team International A,35.0,60.0,0.5833,0.0490732106143464,0.5417,0.6111,0.0694,0.48911080584631406,0.6046400000000001,0.9306,25.0,-26.74896128402285
wbc3ifndef,Jakub Horák,Czechia B,72.0,132.0,0.5455,0.3096418684006843,0.1111,0.7778,0.6667000000000001,0.5455,0.5815727272727274,0.33329999999999993,28.0,-28.977366894649276
