tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
1,Hungary B vs Hungary A,3,7.0,29.0,Zoltán Menyhárt,wbclasek,Hungary B,Ciarán Lucey,wbcciaran,Hungary A,2.0,10.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,1,7.0,29.0,Ferenc Rostás,wbcrostas,Hungary B,Zoltán Sonkoly,wbciron,Hungary A?Authuser=0,2.0,10.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,1,7.0,29.0,Róbert Pátkai,wbcnirvana,Hungary B,Ciarán Lucey,wbcciaran,Hungary A?Authuser=0,4.0,8.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,1,7.0,29.0,Gábor Nagy,wbcasz,Hungary B,Zoltán László,wbczoli,Hungary A?Authuser=0,1.0,11.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,2,6.0,30.0,Ferenc Rostás,wbcrostas,Hungary B,Zoltán László,wbczoli,Hungary A?Authuser=0,1.0,11.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,2,6.0,30.0,Róbert Pátkai,wbcnirvana,Hungary B,Zoltán Sonkoly,wbciron,Hungary A?Authuser=0,1.0,11.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,2,6.0,30.0,Gábor Nagy,wbcasz,Hungary B,Ciarán Lucey,wbcciaran,Hungary A?Authuser=0,4.0,8.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,3,7.0,29.0,Róbert Pátkai,wbcnirvana,Hungary B,Zoltán László,wbczoli,Hungary A?Authuser=0,2.0,10.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,3,7.0,29.0,Gábor Nagy,wbcasz,Hungary B,Márk Horváth,wbcmark,Hungary A?Authuser=0,3.0,9.0,12.0,B
1,Hungary B vs Hungary A?Authuser=0,3,7.0,29.0,Zoltán Menyhárt,wbclasek,Hungary B,Ciarán Lucey,wbcciaran,Hungary A?Authuser=0,2.0,10.0,12.0,B
1,Poland A vs Czechia E,1,33.0,3.0,Michał Żukowski,wbcbeetle,Poland A,Jan Purkrábek,wbcpurkys,Czechia E,12.0,0.0,12.0,A
1,Poland A vs Czechia E,1,33.0,3.0,Bogdan Brachaczek,wbcbb,Poland A,Jan Kopecký,wbcdeafbat,Czechia E,10.0,2.0,12.0,A
1,Poland A vs Czechia E,1,33.0,3.0,Michał Zajk,wbcpuholek,Poland A,Radim Kostlivý,wbcshpek,Czechia E,11.0,1.0,12.0,A
1,Poland A vs Czechia E,2,30.0,6.0,Michał Żukowski,wbcbeetle,Poland A,Jan Kopecký,wbcdeafbat,Czechia E,9.0,3.0,12.0,A
1,Poland A vs Czechia E,2,30.0,6.0,Bogdan Brachaczek,wbcbb,Poland A,Radim Kostlivý,wbcshpek,Czechia E,11.0,1.0,12.0,A
1,Poland A vs Czechia E,2,30.0,6.0,Michał Zajk,wbcpuholek,Poland A,Jan Purkrábek,wbcpurkys,Czechia E,10.0,2.0,12.0,A
1,Poland A vs Czechia E,3,33.0,3.0,Michał Żukowski,wbcbeetle,Poland A,Radim Kostlivý,wbcshpek,Czechia E,12.0,0.0,12.0,A
1,Poland A vs Czechia E,3,33.0,3.0,Bogdan Brachaczek,wbcbb,Poland A,Jan Purkrábek,wbcpurkys,Czechia E,12.0,0.0,12.0,A
1,Poland A vs Czechia E,3,33.0,3.0,Michał Zajk,wbcpuholek,Poland A,Jan Kopecký,wbcdeafbat,Czechia E,9.0,3.0,12.0,A
1,Poland A vs Czechia E?,1,33.0,3.0,Michał Żukowski,wbcbeetle,Poland A,Jan Purkrábek,wbcpurkys,Czechia E?,12.0,0.0,12.0,A
1,Poland A vs Czechia E?,1,33.0,3.0,Bogdan Brachaczek,wbcbb,Poland A,Jan Kopecký,wbcdeafbat,Czechia E?,10.0,2.0,12.0,A
1,Poland A vs Czechia E?,1,33.0,3.0,Michał Zajk,wbcpuholek,Poland A,Radim Kostlivý,wbcshpek,Czechia E?,11.0,1.0,12.0,A
