tournament_round,match_id,player_name,player_nick,team,total_score,total_games,efficiency
1,Hungary B vs Hungary A,Zoltán Menyhárt,wbclasek,Hungary B,2.0,12,0.1667
1,Hungary B vs Hungary A,Zoltán László,wbczoli,Hungary A,32.0,36,0.8889
1,Hungary B vs Hungary A,Ciarán Lucey,wbcciaran,Hungary A,26.0,36,0.7222
1,Hungary B vs Hungary A,Zoltán Sonkoly,wbciron,Hungary A,21.0,24,0.875
1,Hungary B vs Hungary A,Márk Horváth,wbcmark,Hungary A,9.0,12,0.75
1,Hungary B vs Hungary A?Authuser=0,Gábor Nagy,wbcasz,Hungary B,8.0,36,0.2222
1,Hungary B vs Hungary A?Authuser=0,Róbert Pátkai,wbcnirvana,Hungary B,7.0,36,0.1944
1,Hungary B vs Hungary A?Authuser=0,Ferenc Rostás,wbcrostas,Hungary B,3.0,24,0.125
1,Hungary B vs Hungary A?Authuser=0,Zoltán Menyhárt,wbclasek,Hungary B,2.0,12,0.1667
1,Hungary B vs Hungary A?Authuser=0,Zoltán László,wbczoli,Hungary A?Authuser=0,32.0,36,0.8889
1,Hungary B vs Hungary A?Authuser=0,Ciarán Lucey,wbcciaran,Hungary A?Authuser=0,26.0,36,0.7222
1,Hungary B vs Hungary A?Authuser=0,Zoltán Sonkoly,wbciron,Hungary A?Authuser=0,21.0,24,0.875
1,Hungary B vs Hungary A?Authuser=0,Márk Horváth,wbcmark,Hungary A?Authuser=0,9.0,12,0.75
1,Poland A vs Czechia E,Bogdan Brachaczek,wbcbb,Poland A,33.0,36,0.9167
1,Poland A vs Czechia E,Michał Żukowski,wbcbeetle,Poland A,33.0,36,0.9167
1,Poland A vs Czechia E,Michał Zajk,wbcpuholek,Poland A,30.0,36,0.8333
1,Poland A vs Czechia E,Jan Kopecký,wbcdeafbat,Czechia E,8.0,36,0.2222
1,Poland A vs Czechia E,Jan Purkrábek,wbcpurkys,Czechia E,2.0,36,0.0556
1,Poland A vs Czechia E,Radim Kostlivý,wbcshpek,Czechia E,2.0,36,0.0556
1,Poland A vs Czechia E?,Bogdan Brachaczek,wbcbb,Poland A,33.0,36,0.9167
1,Poland A vs Czechia E?,Michał Żukowski,wbcbeetle,Poland A,33.0,36,0.9167
1,Poland A vs Czechia E?,Michał Zajk,wbcpuholek,Poland A,30.0,36,0.8333
1,Poland A vs Czechia E?,Jan Kopecký,wbcdeafbat,Czechia E?,8.0,36,0.2222
1,Poland A vs Czechia E?,Jan Purkrábek,wbcpurkys,Czechia E?,2.0,36,0.0556
1,Poland A vs Czechia E?,Radim Kostlivý,wbcshpek,Czechia E?,2.0,36,0.0556
