player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbchajnal,Hajnalka Kovács,Team International B,11.0,24.0,0.4583,0.6482047863137081,0.0,0.9167,0.9167,0.3110767297615987,0.38885000000000003,0.08330000000000004,42.0,-49.47542080020861
wbcpurkys,Jan Purkrábek,Czechia E,29.0,108.0,0.2685,0.1970325184667072,0.0556,0.4444,0.3888,0.2685,0.5392666666666667,0.6112,55.0,-49.749615820627994
wbcskoupy,Vít Jiřík,Czechia F,14.0,60.0,0.2333,0.2160918323306089,0.1111,0.4167,0.3056,0.20401192107405103,0.46112000000000003,0.6944,56.0,-52.373102143258876
wbckakosik,Eva Orlova,Team International B,13.0,48.0,0.2708,0.2651650429449553,0.0833,0.4583,0.375,0.22389830248259382,0.5272749999999999,0.625,54.0,-53.002150370870496
wbc1211,Wang Siyuan,Czechia C,7.0,72.0,0.0972,0.0589019948728394,0.0556,0.1389,0.0833,0.08878263478823509,0.37338333333333334,0.9167,59.0,-57.27256689304115
wbccrosslet,Karol Podwyszyński,Poland B,5.0,36.0,0.1389,,0.1389,0.1389,0.0,0.10630859247771955,0.6504666666666666,1.0,57.0,-60.751900392453514
wbcrichi,Richard Červenka,Team International C,5.0,72.0,0.0694,0.0589019948728394,0.0278,0.1111,0.0833,0.06339007051752588,0.44521666666666665,0.9167,60.0,-60.9082297695088
wbcseabow,Jana Adámková,Team International C,4.0,36.0,0.1111,,0.1111,0.1111,0.0,0.08503156676943588,0.7037,1.0,58.0,-63.64902907303624
wbckaktuszka,Krisztina Kamarás,Hungary C,4.0,108.0,0.037,0.0321006749669431,0.0,0.0556,0.0556,0.037,0.5575,0.9444,62.5,-65.15482731023755
wbctorpe,M. Nándor Halena,Hungary C,3.0,108.0,0.0278,0.0278,0.0,0.0556,0.0556,0.0278,0.5306111111111111,0.9444,65.0,-65.33673762117171
wbccsaba,Csaba Kamarás,Hungary C,4.0,108.0,0.037,0.0424106511778979,0.0,0.0833,0.0833,0.037,0.5576111111111112,0.9167,62.5,-65.49643863632936
wbcmulan,Bai Liu,Team International D,1.0,36.0,0.0278,,0.0278,0.0278,0.0,0.02127702570828368,0.6211333333333333,1.0,65.0,-67.13608409696522
wbcfuzaty,Michal Holec,Team International C,1.0,24.0,0.0417,,0.0417,0.0417,0.0,0.028304384968489346,0.7222,1.0,61.0,-68.72491844483704
wbc366,Wang Haoran,China,1.0,36.0,0.0278,,0.0278,0.0278,0.0,0.02127702570828368,0.7037,1.0,65.0,-68.90761561234191
