nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbcgeordie,wbcpurkys,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcgeordie,wbcshpek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbchajnal,wbcrichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbciron,wbca,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciron,wbcc,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciron,wbcd,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciwbtc,wbcbeetle,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciwbtc,wbcfojtman,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbciwbtc,wbcpiggi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbciwbtc,wbcpuholek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciwbtc,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbciwbtc,wbctasemnice,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbckakosik,wbccoldmind,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckakosik,wbcgeordie,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbckaktuszka,wbcasz,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckaktuszka,wbclasek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckaktuszka,wbcnirvana,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckaktuszka,wbcpangbai,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckaktuszka,wbcuida,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbckaktuszka,wbcyu20,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclasek,wbcciaran,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclasek,wbcmulan,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbclojzeidon,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbclojzeidon,wbcangst,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbclojzeidon,wbcbb,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclojzeidon,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclojzeidon,wbcpeaceman,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbclojzeidon,wbcplayer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbclojzeidon,wbcpuholek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclojzeidon,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbclojzeidon,wbcsiwer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmark,wbca,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcmark,wbcc,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmark,wbcd,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmartez,wbcbeetle,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmartez,wbcfojtman,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmartez,wbcpiggi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmartez,wbcpuholek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmartez,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmartez,wbctasemnice,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmichi,wbc3ifndef,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmichi,wbciwbtc,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmichi,wbcmartez,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmk108,wbcangst,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmk108,wbcashot,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmk108,wbccrosslet,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcmk108,wbcheater,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmk108,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcmk108,wbcsiwer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcnirvana,wbcciaran,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcnirvana,wbciron,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcnirvana,wbcmulan,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcnirvana,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcnirvana,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcnirvana,wbczoli,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcpangbai,wbcashot,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcpangbai,wbckremufka,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcpangbai,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcperoxid,wbcangst,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcbb,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcnguyenminh,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcperoxid,wbcpeaceman,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcpuholek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcperoxid,wbcsiwer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcpiggi,wbckaktuszka,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcpiggi,wbcmark,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcpuholek,wbcdeafbat,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcpuholek,wbcpurkys,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcpuholek,wbcshpek,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcpurkys,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
